item_name,item_description,id
oncall specialized calibration services,the contractor will provide on call calibration services onexisting caltrans pavement surface friction measurement systems tocomply with federal requirements of standard test methods specializedcalibrationminor maintenance or repairs and,4347
usb hub,belkin 4port ultraslim usb 20desktop hub,4348
blanket po for emergency prescriptions,blanket for prescriptions,4349
carb cleaner,carb and brake cleaners,4350
hendy woods day use area rehab,day use rehabbuild arborrepair parking lotsimprove picnicfacilitiespicnic tablesand connects paths,4351
trailers,trailers used for camvu 008547,4352
womens watch,25 year awardwomens watch,4353
20132014 fy funds,add funds,4354
magnetic cylinder,magnetic cylinder,4355
valve ball,std port 3 4,4356
catheters,catheters,4357
repair parts,parts purchased to repair state equipment and vehicles,4358
landfill disposal site service in the county of lake,provide landfill disposal site services for caltrans in the county oflake for the disposal of rubbishgreen waste and recyclable materialshauled in by caltrans maintenance crews materials picked upfrom along highway rightofway and include rec,4359
glucose basic blood testing,glucose basic blood testing,4360
legal service for pegastaff v corestaff services,amendment2 additional funding in the amount of200 00000two hundred thousand dollars and 00 100the totalamunt of this contract is 700 00000please note all other termsand conditions have not been amended legal representatio,4361
chickenhind qtrscubestripsboneless breast,chickenhind qtrcubestripsboneless breast,4362
facilityav rental for training,provide rental and hotel equipment for the atc to conduct the electronicsurveillancewiretapcourse,4363
fuel for equip 26r074,fuel for equip 26r074,4364
painting,painting,4365
security guard service,to provide security at helibase and at incident base camp on going fire,4366
tpinssteel1 silver100 box,tpinssteel1 silver100 box,4367
tape storage,it media storage off site additional anticipated need,4368
cookies,cookieschocolate chipsnickerdoodleoatmeal,4369
windows 2012 server r2 and windows 8 training,windows 2012 server r2 and windows 8 training,4370
pensblack ,papermate profile pensblack,4371
houdini proprietary maintenance7 1 1612 31 17,services proposed are for the continued maintenance to current houdinicase management system for routing upgradesinfrastructure support applicaton enhancementsdefect bug resolutionand application helpdesk tickets,4372
postit note,post it,4373
pea green petite frozen,pea green petite frozenbrand valley pakt55 lbs per csunspsc 50445400actual price per lb 067555 lb cs 3713 line total 89100,4374
rental of equipment,fire apparatus personnel for going fire,4375
0986160 a01,amendment a01 adjusts rates,4376
shower unit,shower unit used on going fire,4377
amend for five5months,amend for five5months,4378
amend for optional yearnon chem landscape,amendment current nonchemical landscape contract for optional year forthe visalia dmv field office,4379
weekly food order,buttercheesecreamerice creamyogurtmeat products porkturkey beefbreadappertizerpastriescakedesertstortillasbeans pickleflourcondimentsfresh fruitfresh vegetableswatertea saladsugar,4380
nozzles,fire nozzles to replace damaged ones on several fires,4381
chargerbattery,chargerbattery,4382
two drawer lateral file cab carbon,furniture,4383
cattle indenitification ear tags with orange painted enamel coating,cattle indentification ear tags with orange painted enamel coating,4384
easy peel address labels,avery1 x 4whiteclin 2078,4385
hp la2306x 22inch lcd monitor,hp la2306x 22inch lcd monitor,4386
firearms range rental,firearms range rental,4387
sennheiser ew 112p g3 camera mount wireless microphone system,sennheiser ew 112p g3 camera mount wireless microphone system,4388
camera repair,camera repair,4389
dura metal wheelchair locker,metal wheelchair locker,4390
imaging and workflow,imaging and workflow,4391
chemical resist glove sz10gr#8vu75,chemical resist glove sz10gr#8vu75,4392
knitted caps,knitted caps,4393
gis workstations,gis workstations,4394
cell phone,cell phone,4395
white turnpike w lens,white turnpike w lens,4396
electric stapler,swingline optima 45 electric stapler,4397
resourcing 4 xrf devices for lead testing materials,resourcing 4 xrf devices for lead testing materials,4398
additional 500sheet paper trays3 trays total ,additional 500sheet papertrays3 trays total ,4399
gas launchers,gas launchers,4400
graphic designer,graphic designer,4401
jamskenneth gibbs,contractor shall act as an arbitrator to resolve the following disputinvolving a public works construction contract granite constructioncompany v department of transportationa00092014,4402
thermal blankets,blankets,4403
rain coats,rain coats yellow,4404
toner laserjet hp4200 q1338a,toner laserjet hp4200 q1338a,4405
radiology envelopes,radiology envelopes,4406
cake mix spice,cake mix spice actual price 0515,4407
tornado,tornados,4408
socks mens stretch work,socks mens stretch work,4409
pineapple tidbitsdiced pearsdiced peachesapplesauce,pineapple tidbitsdiced pearsdiced peaches and applesauce,4410
eaton powerware fex 8hr 7x24 coverage,eaton powerware fex 8hr 7x24 coverage,4411
fuel for equip 10r066,fuel for equip 10r066,4412
samsung clp775nd color printer,samsung clp775nd color printer,4413
cspsq order,cspsq order various locks fy 15 16,4414
pressure reduction option,pressure reduction optionreferencespecs 66302150,4415
demolish old administration building,demolish old administration building,4416
rubberbands #117b 1 4lb,rubberbands #117b 1 4lb,4417
0986155 a06,amendment a06 funding adj lihpmhdrg and 20112012 igt,4418
multifunction machine,multifunction machine,4419
kenwood parts,kenwood parts,4420
tiregoodyear eagle rsap235 55r17clin 201,tiregoodyear eagle rsap235 55r17clin 201,4421
desk chairs,desk chairs,4422
equipment for facility grounds maintenace,equipment for facility grounds maintenace,4423
controller,controller,4424
furniture set,furniture set,4425
319 hnonpoint source pollution,south fork trinity river watershed sediment reduction project,4426
hp fuser kit110vhighyield5550 series ,hp fuser kit110vhighyield5550 series ,4427
security guard services,security guard services,4428
smartphone accessoryotterbox wearable defender series rugged case,caseotterbox wearable defender series rugged case,4429
west publishing corp,law library purchases,4430
20356485 dvdr disc470 gb120 min16xpk 100,20356485 dvdr disc470 gb120 min16xpk 100,4431
co 006,co 006 time extension of 3 calendar days,4432
cap screw,cap screw,4433
temp relief optometry services,temp relief optometry services,4434
fuel for equip 02s316,fuel for equip 02s316,4435
kitchen remodeling,contractor agrees to paint and do installations to remodel the kitchenlocated in goodell school,4436
cpr training accessories,cpr training infant manikin physio quick combo defib connector prof aed trainer etc,4437
lab supplies,nonstick rnasefree microfuge tubes15ml ,4438
legal services,this contract will allow the state water projectswpto receiveassistance on matters relating to previous work done by peter kissel esq through gkrsea specialized washingtondc law firmfrom 1998to the presentfor department of water resource,4439
polycom soundstation vtx1000,polycom soundstation vtx1000 phoneincludes subwoofer and two corded microphones ,4440
batteries,button battery,4441
win7 w o windvd restore media,windows,4442
8 gb 1600 mhz ddr3 sdram2d ,8 gb 1600 mhz ddr3 sdram2d ,4443
fabricate threshold14 ga stainless steel 304 or better,fabricate threshold14 ga stainless steel 304 or better,4444
cv98 co2 vlvs replacement faulty,cv98 co2 vlvs replacement faulty,4445
restroom repair services,restroom repair services for chp hollistergilroy area office,4446
fuser agent,fuser agent,4447
ready mix,ready mix,4448
docuement scanning,docuement scaning services,4449
vancargochevy express,van cargochevy express,4450
fuel for equip 10r186,fuel for equip 10r186,4451
wired glass,x,4452
co 011,co 011,4453
expert witness,contractor will provide expert witness services,4454
data storage,data storage,4455
hand wash stations,hand wash stations for going fire,4456
admin serviceshrb,provide online selection servicesonline data processing accessmis information servicesworkforce analysismedical officer servicesstatewide training program servicesociohrmod exam services and other spb services,4457
strengths finders 20,9781595620156,4458
cables network switch,cables network switch,4459
toners,toner carthp 27xblackhigh yield,4460
sheetspolyester cotton white,sheetspolyester white cotton,4461
hp magenta toner,hp magenta toner,4462
bell peppersred,fresh produce,4463
breadhamburger wheat buns,breadhamburger wheat buns,4464
forklift,used on going fire,4465
sap hana software,sap hana software,4466
overage per copy 0069,overage per copy 0069,4467
expert witness,withheld 01 some or all of the information is exempt from disclosurefor information contact department,4468
tonerce505a,replenish stock,4469
2br17clelinejobber bit3 16 inchhigh speed steel,2br17clelinejobber bit3 16 inchhigh speed steel,4470
rollerball pensred ,pilot precise rollerball pensredpv7,4471
sprinkler popup,sprinkler 4 popup spray,4472
sales tax,all taxes combined,4473
bpo gases,rentals,4474
laserjet ink,laserjet ink,4475
battery aa energizer ind 24 pk eveen,battery aa energizer ind 24 pk eveen,4476
aagsk2517 desk calendars603 ,aagsk2517 desk calendars603 ,4477
door closure,door closer,4478
modular furniture,mobil box file,4479
frontier dh161212 drawn disk harrow w 32 blades on 9 spacing,frontier dh161212 drawn disk harrow w 32 blades on 9 spacing,4480
flammable storage cabinet,flammable storage cabinet,4481
ice cream cup,ice cream cups,4482
technical assistance and corrective action,contractor will assist the cde in meeting the requirement that localeducational agenciesleasfound to be noncompliant in one or morestate performance plansppindicator are supported by a system oftechnical assistance to implement corrective action and improve performance,4483
facilities maintenance,facilities maintenance,4484
milk,milklow fat1bulk3gal ea,4485
goodyear p235 70r16 assurance cs fuel max,goodyear p235 70r16 assurance cs fuel max,4486
hp 85a tonerce285a ,hp 85a tonerce285a ,4487
calculator,calculators,4488
contact lenses,contact lenses,4489
solenoid valveshower kit,solenoid valveshower kit,4490
lab reagents,lab reagents,4491
avery white inkjet address labels1 x 2 5 8box of 750,avery white inkjet address labels1 x 2 5 8box of 750,4492
power dell optiplex,power dell optiplex,4493
tap,tap,4494
leggett water testingmaintenance,contractor to perform drinking water testing sampling for the leggett maintenance station contractor shall provide all labortesting equipmentmaterialand incidentals necessaryincluding transportation to and from the work locationto complete requ,4495
printer w usb cable,multifunction printer wusb cable,4496
co 067,co 067,4497
browniecake mix,4th quarter food orders,4498
cookie,cookies,4499
boneless chicken breast,boneless50 lb cs,4500
skirting,skirting,4501
expert witness,relocation evaluation,4502
amend contract,amend contract to reflect the increase in the benefit rate,4503
hp compaq backlit monitor,hp compaq backlit monitor 2324,4504
adjustable wrench 6,adjustable wrench 6,4505
emergency physician services,the contractor will provide dshc patients with emergency physicianservices at dshc contracted hospitals,4506
am 9,extending term,4507
cable,cable coax transition,4508
robo reel,reel,4509
california teleconnect fund complian audit services,compliance audit of the california teleconnect fundctfprogram related costs and activities for the following five5carriers1us telepacific corp2sunesysllc3calltowerinc4time warner telecomand 5xo communications services,4510
misc for equip 13r253,misc for equip 13r253,4511
water level logger,water level logger,4512
sinkcabinetdrawer,36 butt sb36 sink cabinet rangebase 3336 super susan cabinet db30 drawer base cabinet b12 base cabinet 3030 butt wall cabinet,4513
lodging for going fire,130 hotel rooms for fire personnel on going fire castf 002857 rim fire,4514
cake mix cherry50 lb bg #247117 bgs,cake mix cherry50 lb bg #247117 bgs,4515
exo total algaepc sensor ti,exo total algaepc sensor ti,4516
mx4141nca digital color copier printer scanner,mx4141nca digital color copier printer scanner,4517
misc food items and fresh produce for the week of 1 5 151 9 15,misc food items and fresh produce for the week of 1 5 151 9 15,4518
dental burs,dental burs,4519
paper shreadercrosscut17sheet,paper shreaddercrosscut17sheet,4520
cmckitchen replacement,architectural and engineering services for the west facility kitchenreplacement project at the california mens colony in san luis obispoca,4521
racksstorage,racksstorage,4522
license software,license software,4523
iv normal saline 250ml,iv normal saline 250ml,4524
nutrition services,nutrition services,4525
desktops,power desktops,4526
connect box,connect box,4527
desk prmr 36x72 lft rtn cherry,desk prmr 36x72 lft rtn cherry,4528
halal,halal,4529
fuel for equip 13r287,fuel for equip 13r287,4530
frozen vegetables,diced carrots,4531
cayenne pepper spice ground25 cs ,cayenne pepper spice ground25 cs ,4532
parking lot sweeping,parking lot sweeping for chp otay mesa inspection facility,4533
attenuator for parts stock,attenuator for parts stock,4534
mail folder inserter lease 2014 2015fy,annual lease for mail folder inserter for 2014 2015 fiscal year,4535
bagel dogs,bagel dogs,4536
yearly milk order for hospital,milk,4537
25 yr service watch,25 yr service watch,4538
table saw 10,table saw 10,4539
male adapter2 male thread,male adapter,4540
listserv classic 20 annual maintenancesupport on windows,listserv classic 20 annual maintenancesupport on windows,4541
maple syrup,sugar free maple syrup,4542
wall pack,wall pack,4543
0986215 a02,amendment a02 extends term and shifts funds,4544
cspsq order,cspsq food order for tomatoes fy 13 14 4t qtr,4545
portable vhf hand held radio,radios,4546
butterscotch,butterscotch pudding,4547
mcsp fuel blanket po for 12 2014,mcsp fuel blanket po for 12 2014,4548
dental prosthetics,dental prosthetics,4549
portable radio,portale radio,4550
disposable food service supplies,misc disposable food service supplies,4551
cardiosens electrodes,cardiosens electrodes,4552
corn bread,corn bread,4553
beverage pitcher,beverage pitcher32 ozclear,4554
credenzas,crdnzavngd20x64b d femhg,4555
cable usb,usb cable,4556
managing the lost person incident,nasar managing the lost person incident 2795 eachnasar field ops guide 1000 each,4557
feasibility study for post on the ca board of equalization,feasibility study for post on the ca board of equalization,4558
led wall pack,wall pack,4559
general repair maintenance,general repair maintenance at 4 maintenance stations in district 12,4560
cpap machines and accessories,cpap machines and accessories,4561
local government team member imt2,local government imt2 team member on going fire,4562
accessoriescatalyst 3kx 1100w ac power supply,network switch accessoriescatalyst 3kx 1100w ac power supply,4563
adhesive dermabond,ethdnx skin adhesive dermabond trop 7ml,4564
order #14mk0411jt,batching miscellaneous food contract vendor invoices for payment,4565
envelopelineniy,envelopelineniy,4566
kitchen supplies,cups spoons forks,4567
cabinet file vngd 2drw f lk emhg,cabinet file vngd 2drw f lk emhg,4568
title iiivii services,title iiivii services,4569
chickendiced,chickendiced,4570
project management,project managerpaid from consulting dollars,4571
electronic library services,west publishing corporation agrees to provide electronic libraryservices for the department of state hospitalsatascadero per plan 2a msa 5119902for one1password,4572
water tender,water supply for on going fireoak incident,4573
usb,usb,4574
shirtcham 6xl,shirtcham 6xl,4575
ois lcs technologies oracle database administratordbaconsultant,oracle database administratordbaconsultant,4576
wheelchair electric cart 4 passenger,electric whellchair cart4 passenger plus wheelchairwithadafoldup ramp 4117 ,4577
laminates,laminates,4578
tractor,transport for going fire,4579
2 3hole punch unit,2 3hole punch unit,4580
dual flame twin tip 1 211 8,dual flame twin tip 1 211 8,4581
contract,print and distribute three issues of outdoor ca magazine,4582
harness,cmi rescue 8,4583
tractortrailer,hired to transport equipment assignedto going firecasku 005509sku lightning complex,4584
fresh nonfat milk,fresh nonfat milk,4585
black pepper 5lb containers,black pepper 5lb containers,4586
tape invisible 12 pk cr,tape invisible 12 pk cr,4587
assistance by hire,assistance by hire cashf 002744e73 8 289 4 12,4588
trapeze,trapeze,4589
04a4595,contractor shall provide on an oncallasneeded or emergency basis alllaborhardwareequipment toolstraffic control and lane closures incidentals other than state furnished items to repair or replacedamaged metal beam guard railmbgron various,4590
inmate parolee appeal attachm,cdcr602a,4591
sports bags,bagsto hold track starting blocks ,4592
base rock,3 4 delivered to camp connell,4593
gill chandler iris forceps,item # 95039218,4594
pest control services gold camp,pest control services,4595
freight not to exceed cost stated on po,freight not to exceed cost stated on po,4596
printing,printing and maintenance,4597
label lasr 1x2 5 8 we bul,label lasr 1x2 5 8 we bul,4598
fuel for equip 10r143,fuel for equip 10r143,4599
incident management,to provide technical expertise for going fire,4600
toner cartridge,ink,4601
raisins,raisins,4602
janitoral supplies,janitorial supplies,4603
misc for equip 04s248,misc for equip 04s248,4604
hp probook 640 g1 notebook pcpower,hp probook 640 g1 notebook pcpower,4605
duty belt black meduim,duty belt black meduim,4606
cd13118,2014 pocket directory for state managers,4607
canon scanner,drg1130,4608
ed500 metro datavac electric duster,ed500 metro datavac electric duster,4609
lancetbutton activatedbox 100,lacetbutton activatedbx 100 ea ,4610
water monitoring,add 15 000extend time to 03 28 15,4611
tire goodyear wrangler at adventurelt245 75r16,tire goodyear wrangler at adventurelt245 75r16,4612
rail kit w base safetyrail 2000 4,rail kit w base safetyrail 2000 4,4613
envelope 10window inner security tint,envno10winsecgrn1s envelopecommericalno10window innersecuirty tint 1 sidedgree ink,4614
note 15x2 rcyc 12 pk yw,note 15x2 rcyc 12 pk yw,4615
#4 fish food,fish food,4616
batteries,batteries,4617
1110398 a01,contractor to conduct activities related to rape preventioneducation,4618
lmil 1x2891,lmil 1x2891,4619
high yield developer,high yield developer,4620
hp 5yr nbd onsite dt only hw support,hp 5yr nbd onsite dt only hw support,4621
full size chest cooler150qt wht org,cooler,4622
fuel for equip 14r241,fuel for equip 14r241,4623
palo alto networks pa200 subscription bundle renewal,palo alto networks pa200 subscription bundle renewal for tpwf bright cloud url filtering,4624
direct service,direct service subvention,4625
maintenance,maintenance for sharp copiers5,4626
membership,membership into ca department of veterans affairs,4627
egg noodles,medium noodles20lb cs,4628
laser jet 4200,hp laser jet 4200,4629
pesticides,pesticides,4630
gauze,gauze,4631
parking lot sweep and steam cleaning,contractor to provide parking lot sweep and steam cleaning services forthe visalia dmv field office,4632
floor wax,wax,4633
ammunition 380 remington,r380a1 380 88 gr jhp500 cs ,4634
misc for equip 10r133,misc for equip 10r133,4635
goodyear lt265 70r17 wrangler dura trac,goodyear lt265 70r17 wrangler dura trac,4636
pentel icy auto pencilsblue barrell,pentel icy auto pencilsblue barrell 07mm and 05mm1 dozen each box ,4637
plastic graduated cups 1 oz,plastic graduated cups 1 oz,4638
hardware exit device,harware exit device626security bar ,4639
filestor105x45x24l,filestor105x45x24l,4640
doors,doorsetc,4641
stationary whse ordering printed forms from pia,stationary whse ordering printed forms from pia,4642
key rings,tamper proof ring10 pk2,4643
interferon alpha 2b eye drop,interferon alpha 2b eye drop,4644
facilities maintenance and industrial supplies,facilities maintenance and industrial supplies,4645
fileshelving components,fileshelving components,4646
alkaline phosphatase,alkaline phosphatase,4647
large capacity tray3 500 sheets ,large capacity tray3 500 sheets ,4648
access to mirs system to create and generate managment reports,access to mirs system to create and generate managment reports,4649
ca state sales tax 775,ca state sales tax 775,4650
test strips,test stips,4651
fuel for equip 48s013,fuel for equip 48s013,4652
rma cheese,rma cheese,4653
water and sewage testing,contractor will comply with all state and local lawsrulesandregulations to perform drinking watersurface waterand wastewateranalysiscontracted laboratory must be elap certified and be ableto perform at least 85 of required testing inhouse,4654
co 053 rev 1,co 053 rev 1,4655
coop chaffey,provide vocational rehabilitation services to dor clients who are also enrolled as students at chaffey community college,4656
solenoidcoil valves,various solenoid coils and valves,4657
repair parts,repair parts,4658
fuel for equip 14r317,fuel for equip 14r317,4659
roof web tape,roof web tape,4660
software,tablecurve 2d software,4661
hp 5 yr warranty plus nbd onsite service,hp 5 yr warranty plus nbd onsite service,4662
hydroseed turf,hydroseed turf,4663
ecolab laundry chemicals,ecolab laundry chemicals,4664
gardening accessories,gardening accessories,4665
custom dater,custom dater,4666
iodideiodate 240,iodideiodate 240water treatment,4667
misc for equip 04s288,misc for equip 04s288,4668
computer based national examination for licensure of psychologists,please refer to exhibit ascope of work,4669
fuel for equip 10r076,fuel for equip 10r076,4670
local government on sra fire,emergency resource on sra fire,4671
gloves,glovesmallmediumlargexlarge2xlnitrileuniseal100 bx10bx cs,4672
jevity 1 cal1000ml,8 1000ml cs,4673
docsboosts2,docsboosts2,4674
fy 1415 5year low volume maintenance,fy 1415 5year low volume maintenance,4675
sign holder and adapter,equipment for new driver license processing centers opening due to ab 60,4676
gloves latex,latex glovespowder free 10 ml small,4677
fluorescent lampcool white only,fluorescent lampcool white only,4678
salisbury steakchk beef,salisbury steakchk beef,4679
dental supplies,septocainexylocainemonoject needlesamalgam etc,4680
cotton ballsnonsterile,cotton ballsnonsterile,4681
lumber,lumber,4682
am1 new water well installationchamberlain creek conservation camp,am1 new water well installationchamberlain creek conservation camp,4683
prunewhole pitted type 1 small size,prunewhole pitted type 1 small size,4684
computer based trainingpsiopes vmb ,computer based trainingpsiopes vmb ,4685
5376b007aavarioprint 6000 ultra base model set,5376b007aavarioprint 6000 ultra base model set,4686
fasteners,fasteners,4687
finalist software maintenance renewal,finalist software maintenance renewal,4688
concourse dual surface crank table,needed to meet ergonomic needs,4689
scanx phosphor storage plate#2,scanx phosphor storage plate#2,4690
fuel for equip 07s655,fuel for equip 07s655,4691
gel antimicrobial thin wrist rest for ergonomic keyboardblack leatherette,gel antimicrobial thin wrist rest for ergonomic keyboardblack leatherette,4692
vehicle camera system,vehicle camera system,4693
appliance for residentical care,electric rangerefrigeratorelectric dryer,4694
mxfxx2fax expansion kitincluding pc faxinbound routing ,mxfxx2fax expansion kitincluding pc faxinbound routing ,4695
bolt eye ring hoist swivel 11 26,bolt eye ring hoist swivel 11 26,4696
trash picker,trash picker,4697
hex nipple,hex nipple,4698
 100cisco learning credits, 100cisco learning credits,4699
set in place,set in place for grove high back ergonnomic chair,4700
sewer camera,sewer camera,4701
fuel for equip 14r259,fuel for equip 14r259,4702
water tender,water tender,4703
digital copier printer scanner,sharp copier,4704
wind river workbench,for vxworks 69,4705
sharp high volume maintenance taxable,sharp high volume maintenance taxable,4706
chairgrovemocha,chairgrovemocha,4707
juniper,wireless lan access point ringmaster,4708
nonfat milk,non fat milk 1 2 pint,4709
syringes,vanishpoint syringes,4710
aircraft parts,bearing rod212010783101,4711
data security kithard drive data encryption ,data security kithard drivedata encryption ,4712
shower valve,push button shower valve,4713
pen rbl p700 gelink fn be,pen rbl p700 gelink fn be,4714
sharp mxm453n copier wacc,photocopier wmult accessories,4715
gasoline,unleaded fuel,4716
yellow drum30 000 yield,yellow drum30 000 yield,4717
cooling fan unit,cooling fan unit type 5000 #404170,4718
manhattan mid back lite chairfabricebony,manhattan mid back lite chairfabricebony,4719
software maintenance,year 3 software maintenance,4720
fuel for equip 02s330,fuel for equip 02s330,4721
kthx3bs 4g kingston 4gb 1333mhz memory,kthx3bs 4g kingston 4gb 1333mhz memory,4722
datalink form template design,datalink form template design,4723
file folderltrpink,file folderltrpink,4724
repair control valve,repair control valve,4725
gloves,1 90 cs 46451310 glove exam pf small nitrile 374 3 366002 180 cs 46651310 glove exam pfmed nitrile 374 6 732003 90 cs 46851310 glove exam pf lrg nitrile 374 3 366004 30 cs 46061310 glove exam pf xlrg nitrile 374 1 122005 30 cs 1113,4726
office supply,blue colored paper,4727
trash collectionhauling and disposal services,hauling and disposal of refuse at three locations in los angelescountyservice is need to ensure the faciities are maintainedwithin regulatory code,4728
variable frequency drive,variable frequency drivesinstallation,4729
toner,1 4 ea brothers drum cart f fax 4750e 1265 50600 2 10 ea hp 78a toner 7547 75470,4730
cleaning supply lot,cream cleanserhand soaptooth brushesgrout brushes,4731
beans,beanspinto dry,4732
fuel for equip 02s313,fuel for equip 02s313,4733
anesthesia repairs and maintenance,anesthesia repairs and maintenance,4734
food items,cerealsvariousbreadstick cinnamon roll danish bearclaw,4735
arm55 0u sharp copier,arm55 0u sharp copier serial #6000076y,4736
dumbwaiter material lift maintenance and repair services,dumbwaiter material lift maintenance and repair services at isp,4737
building local agency capacity for safe routes to school programs,building local agency capacity for safe routes to school programs,4738
20823 21 2 x 21 2 adapter c x m,20823 21 2 x 21 2 adapter c x m,4739
tropical fruit 6#10 cans per case,tropical fruit 6#10 cans per case,4740
fluorescent lamp,fluorescent lamp,4741
applesus#1 ct cs,applescelery stalkbell peppersonionsalad mixcoleslaw mushroomsand carrots,4742
hp laserjet fuser kit color 110v,hp laserjet fuser kit color 110v,4743
config add 192gb,to each node,4744
pen,pensarasa se07mmbk,4745
original contract,unarmed security guard services at ncrf,4746
libraryprofessional journal subscriptions,libraryprofessional journal subscriptions,4747
goggles,goggles,4748
printer toners,printer toners,4749
paromomycin cream,paromomycin cream,4750
maintenance service5year nbd kvm pe1081as,maintenance service5year nbd,4751
nonpaved roadstrails program,canycom bp 602 tracked power carriers,4752
paper towel,towels multifold gp24590672 cs ,4753
electronic whiteboards,pansanic panaboardinteractivep n ub7235,4754
oracle sw maintenance renewalotechvarious ,oracle sw maintenance renewalotechvarious ,4755
consu01ips4270gcisco smartnet onsite wancipsm support service ips4270204,consu01ips4270gcisco smartnet onsite wancipsm support service ips4270204,4756
condimentsindividual servings,condimentsindividual serving catsupmayonnaiserelishmustard french dressingitalian dressing,4757
limited slip,limited slip,4758
wheelchair cushion,wheelchair cushion,4759
vest stab,vest,4760
translation and interpreting service,contractor will provide translation and interpreting service incantonesemandarin and toishanese for the dlse offices in santa rosa oaklandsan franciscosacramentostockton and san jose,4761
community services block grant,additional funds,4762
toner hp cf280x,toner hp cf280x,4763
maint fees for fy 12 13,maint warranty for p copiers,4764
advertising,broadcast radio advertising services,4765
prepared nonfrozen cereals and sauce,oatmealcream of rice and wheatgrits and spaghetti sauce,4766
assorted fresh fruit and vegtebles,assorted fresh fruit and vegetables,4767
waterbird studies and monitoring task order 1,task order 1 the usgs will provide project management and reporting field studiesand public outreach regarding the suisun marsh waterfowland waterbird studies original agreement is from 7 1 14 to 12 31 24 for12 000 000 under this task order 5 999 996 will be allocated for usefrom 9 21 14 to 12 31 19,4768
sharp mxpnx1b 3 hole punch unit,sharp mxpnx1b 3 hole punch unit,4769
microsoft frfrntidnttymgrcal alng licsapk mvl usercal,microsoft frfrntidnttymgrcal alng licsapk mvl usercal,4770
trident headlamp,trident headlampknucklehead haz spot light,4771
rice straw,rice straw for barn,4772
calibration kit,calibration kit,4773
valcam zoom usb w flash #9000628,valcam zoom usb w flash #9000628,4774
me,medical vocational training,4775
panel,office panels,4776
one month supply of revlimid 5mg,one month supply of revlimid 5mg,4777
toner,4 ea toner q2612a black2 ea toner q7553x black,4778
hp z620 workstation,desktop computers,4779
welding tip dresser or accessories,welding,4780
25inch noteboko drive 250gb wd blue wd2500bpvt hard drive,hard drive,4781
fuel for equip 14r305,fuel for equip 14r305,4782
bag storage harness sala #ak063a,bag storage harness sala #ak063a,4783
am27 ongoing campus improvements ca school for the deafdept of education,am27 ongoing campus improvements ca school for the deafdept of education,4784
medical supplies,catheterselectrodesmask,4785
amendment 2additional time and funds,07 01 200812 31 2012,4786
gps,gps,4787
medical supplies,foam tubing,4788
fuel for equip 13r101,fuel for equip 13r101,4789
wildland glovesorange,xlg wildland glovesorange,4790
sound bars,ax510 black sound bar for ultrasharp flat panel,4791
electrical service,electrical services,4792
syringe5cc ml luer lock tip#102s5c,syringe5cc ml luer lock tip#102s5c,4793
lexmark copier mx812dfe,lexmark copier mx812dfe,4794
stockings,anti embolism stockings,4795
traffic controlremove chain link fenceinstall chain link fence,traffic controlremove chain link fenceinstall chain link fencetype cl6 install 12 chain link gates,4796
brooms,sweeper brooms,4797
hp elite book 2570p,hp elite books,4798
books and music,books and music,4799
blanket for food,3rd quarter,4800
additional 500sheet paper tray3 trays total ,additional 500sheet paper tray3 trays total#mxdex8,4801
cisco equipment and software maintenance,cisco equipment and software maintenance,4802
fuel for equip 02s012,fuel for equip 02s012,4803
wire #12 stranded blue cerro ,wire #12 stranded blue cerro ,4804
coleslaw,coleslaw,4805
medical supplies,foot guard,4806
base rockclass 23 4,base rockclass 23 4,4807
copeland zb58kcetf5950,copeland zb58kcetf5950,4808
self tapping tek screwzinc,self tapping tek screwzinc,4809
comfort gel nasal mask + hdgr,comfort gel nasal mask + hdgr,4810
toner,blackcyanmagentayellow,4811
fire support trailers,trailers to support incident base swedes fire cabtu010969,4812
3x2,3x2 flexible plastic signs,4813
nccer green technology textbooks,ye role green environment trainingintro weather trainingintro solarphoto voltaicsintro wind energy trainingweather tech level 1introweather instructor guideintro wind energy instructor guideweathertech level 1 instructor guidbuild aud l,4814
1st qtr produce,1st qtr produce,4815
programming cablemobile radio,programming cableapx mobile radio,4816
work center systems,workrite willowsilver,4817
cdr,cdr,4818
rollsdinner,rollsdinner,4819
fuel for equip 14r157,fuel for equip 14r157,4820
scotch tape3 4 x 10001 core10 pk,scotch tape3 4 x 10001 core10 pk,4821
hp compaq mini tower,hp compaq mini tower,4822
weapons firing range services,weapons firing range services for chp redding area office,4823
rev a filter film,filter disk,4824
25 ap base license,25 ap base license,4825
chassisdisplay boardantenna,chassisdisplay boardantenna,4826
electonic waste recycle fee 4 15,electonic waste recycle fee 4 15,4827
enzyme calibrator no charge,enzyme calibratorfor ldi dimension,4828
misc for equip 02s335,misc for equip 02s335,4829
support,commercial sa 4 hours qs customer educationcustomersubscription,4830
thermal core moist heat pk controur 24,thermal core moist heat pk controur 24,4831
emergency onsite temporary relief physician assistant and nurse practitioner se,emergency onsite temporary relief physician assistant and nursepractitioner services,4832
light portable magnetic 110v,light portable magnetic 110v,4833
gasoline,fuel for fire equipment,4834
contract,estimation of abundance for the pacific deer herdpdhusing fecal dna,4835
storage boxes,storage boxes,4836
ibm softwarexcel enterprise subscription renewal,ibm softwarexcel enterprise subscription renewal,4837
complete gearcase,evinrude lower unit complete gearcase,4838
service contract,harris dry cleaner site,4839
adec lve gasket,lve gaskets,4840
